"city","state","postalcode","country","creditlimit","productcode","productline","productscale","quantityinstock","buyprice","msrp","productrating","customernumber"
"London",,"WA1 1DP","UK","43300.00","S24_2841","Planes","1:24","5942","34.25","68.51","4","489"
"Nantes",,"44000","France","118200.00","S12_2823","Motorcycles","1:12","9997","66.27","150.62","3","119"
"Nantes",,"44000","France","118200.00","S18_2432","Trucks and Buses","1:18","2018","24.92","60.77","5","119"
"Nantes",,"44000","France","118200.00","S24_2011","Ships","1:24","1898","82.34","122.89","5","119"
"Nantes",,"44000","France","118200.00","S24_3949","Planes","1:24","6812","29.34","68.24","3","119"
"Nantes",,"44000","France","118200.00","S32_1374","Motorcycles","1:32","178","66.92","99.89","3","119"
"Nantes",,"44000","France","118200.00","S50_1392","Trucks and Buses","1:50","1016","68.29","115.75","3","119"
"Nantes",,"44000","France","118200.00","S700_1138","Ships","1:700","1897","34.00","66.67","3","119"
"Nantes",,"44000","France","118200.00","S700_2466","Planes","1:700","9653","68.80","99.72","4","119"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S700_2610","Ships","1:700","7083","33.97","72.28","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S700_3505","Ships","1:700","1956","51.09","100.17","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S72_3212","Ships","1:72","414","33.30","54.60","3","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S10_1949","Classic Cars","1:10","7305","98.58","214.30","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_3232","Classic Cars","1:18","8347","77.90","169.34","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S24_2972","Classic Cars","1:24","7723","16.24","37.76","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S700_2824","Classic Cars","1:18","6934","46.53","101.15","4","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S700_3962","Ships","1:700","5088","53.63","99.31","1","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S10_4962","Classic Cars","1:10","6791","103.42","147.74","3","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_1097","Trucks and Buses","1:18","2613","58.33","116.67","3","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_1984","Classic Cars","1:18","9772","93.89","142.25","4","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_4522","Vintage Cars","1:18","8290","52.66","87.77","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_4600","Trucks and Buses","1:18","3128","84.76","121.08","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S24_3151","Vintage Cars","1:24","9173","46.91","88.51","1","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S32_1268","Trucks and Buses","1:32","5099","53.93","96.31","3","233"
"Nantes",,"44000","France","118200.00","S700_3505","Ships","1:700","1956","51.09","100.17","3","119"
"Nantes",,"44000","France","118200.00","S72_3212","Ships","1:72","414","33.30","54.60","3","119"
"Nantes",,"44000","France","118200.00","S12_4473","Trucks and Buses","1:12","6125","55.70","118.50","4","119"
"Nantes",,"44000","France","118200.00","S18_3232","Classic Cars","1:18","8347","77.90","169.34","3","119"
"Nantes",,"44000","France","118200.00","S24_2000","Motorcycles","1:24","15","37.32","76.17","3","119"
"Nantes",,"44000","France","118200.00","S24_2300","Trucks and Buses","1:24","2327","61.34","127.79","5","119"
"Nantes",,"44000","France","118200.00","S32_2509","Trucks and Buses","1:32","2874","25.98","54.11","3","119"
"Nantes",,"44000","France","118200.00","S700_1691","Planes","1:700","5841","51.15","91.34","4","119"
"Nantes",,"44000","France","118200.00","S700_3962","Ships","1:700","5088","53.63","99.31","3","119"
"Nantes",,"44000","France","118200.00","S10_1678","Motorcycles","1:10","7933","48.81","95.70","3","119"
"Nantes",,"44000","France","118200.00","S10_2016","Motorcycles","1:10","6625","68.99","118.94","3","119"
"Nantes",,"44000","France","118200.00","S10_4698","Motorcycles","1:10","5582","91.02","193.66","4","119"
"Nantes",,"44000","France","118200.00","S10_4962","Classic Cars","1:10","6791","103.42","147.74","5","119"
"Nantes",,"44000","France","118200.00","S18_2581","Planes","1:72","992","49.00","84.48","4","119"
"Nantes",,"44000","France","118200.00","S18_4522","Vintage Cars","1:18","8290","52.66","87.77","5","119"
"Nantes",,"44000","France","118200.00","S18_4600","Trucks and Buses","1:18","3128","84.76","121.08","4","119"
"Nantes",,"44000","France","118200.00","S24_1444","Classic Cars","1:24","4074","32.37","57.80","3","119"
"Nantes",,"44000","France","118200.00","S24_1578","Motorcycles","1:24","7003","60.86","112.70","3","119"
"Nantes",,"44000","France","118200.00","S24_2360","Motorcycles","1:24","6840","47.10","69.26","3","119"
"Nantes",,"44000","France","118200.00","S24_2840","Classic Cars","1:24","2542","15.91","35.36","3","119"
"Nantes",,"44000","France","118200.00","S24_3151","Vintage Cars","1:24","9173","46.91","88.51","3","119"
"Nantes",,"44000","France","118200.00","S24_4278","Planes","1:24","2756","36.23","72.45","3","119"
"Nantes",,"44000","France","118200.00","S32_1268","Trucks and Buses","1:32","5099","53.93","96.31","4","119"
"Nantes",,"44000","France","118200.00","S32_4485","Motorcycles","1:32","3341","56.13","102.05","3","119"
"Nantes",,"44000","France","118200.00","S50_1341","Vintage Cars","1:50","7062","27.06","43.64","4","119"
"Nantes",,"44000","France","118200.00","S50_4713","Motorcycles","1:50","600","34.17","81.36","2","119"
"Nantes",,"44000","France","118200.00","S700_2834","Planes","1:700","7106","59.33","118.65","4","119"
"Nantes",,"44000","France","118200.00","S700_3167","Planes","1:72","551","54.40","80.00","5","119"
"Toulouse",,"31000","France","61100.00","S700_1938","Ships","1:700","737","43.30","86.61","3","242"
"Toulouse",,"31000","France","61100.00","S700_4002","Planes","1:700","8820","36.27","74.03","3","242"
"Toulouse",,"31000","France","61100.00","S10_4757","Classic Cars","1:10","3252","85.68","136.00","3","242"
"Toulouse",,"31000","France","61100.00","S18_1129","Classic Cars","1:18","3975","83.51","141.54","3","242"
"Toulouse",,"31000","France","61100.00","S18_3029","Ships","1:18","4259","51.61","86.02","2","242"
"Toulouse",,"31000","France","61100.00","S18_3856","Vintage Cars","1:18","2378","64.58","105.87","3","242"
"Toulouse",,"31000","France","61100.00","S24_3816","Vintage Cars","1:24","6621","48.64","83.86","3","242"
"Auckland  ",,,"New Zealand","110000.00","S18_1749","Vintage Cars","1:18","2724","86.70","170.00","4","496"
"Auckland  ",,,"New Zealand","110000.00","S18_2325","Vintage Cars","1:18","9354","58.48","127.13","5","496"
"Auckland  ",,,"New Zealand","110000.00","S18_2625","Motorcycles","1:18","4357","24.23","60.57","5","496"
"Auckland  ",,,"New Zealand","110000.00","S24_1785","Planes","1:24","3627","66.74","109.42","2","496"
"Auckland  ",,,"New Zealand","110000.00","S24_2022","Vintage Cars","1:24","2847","20.61","44.80","4","496"
"Auckland  ",,,"New Zealand","110000.00","S24_2766","Classic Cars","1:24","2350","47.25","90.87","2","496"
"Auckland  ",,,"New Zealand","110000.00","S24_2887","Classic Cars","1:24","1452","72.82","117.44","3","496"
"Auckland  ",,,"New Zealand","110000.00","S32_4289","Vintage Cars","1:32","136","33.02","68.79","3","496"
"Auckland  ",,,"New Zealand","110000.00","S700_1938","Ships","1:700","737","43.30","86.61","2","496"
"Auckland  ",,,"New Zealand","110000.00","S12_2823","Motorcycles","1:12","9997","66.27","150.62","3","496"
"Auckland  ",,,"New Zealand","110000.00","S18_3029","Ships","1:18","4259","51.61","86.02","2","496"
"Auckland  ",,,"New Zealand","110000.00","S18_3259","Trains","1:18","6450","67.56","100.84","3","496"
"Auckland  ",,,"New Zealand","110000.00","S18_3856","Vintage Cars","1:18","2378","64.58","105.87","2","496"
"Auckland  ",,,"New Zealand","110000.00","S18_4409","Vintage Cars","1:18","6553","43.26","92.03","1","496"
"Auckland  ",,,"New Zealand","110000.00","S24_1046","Classic Cars","1:24","1005","49.24","73.49","5","496"
"Auckland  ",,,"New Zealand","110000.00","S24_2011","Ships","1:24","1898","82.34","122.89","4","496"
"Auckland  ",,,"New Zealand","110000.00","S24_3191","Classic Cars","1:24","4695","50.51","85.61","4","496"
"Auckland  ",,,"New Zealand","110000.00","S24_3816","Vintage Cars","1:24","6621","48.64","83.86","3","496"
"Auckland  ",,,"New Zealand","110000.00","S32_1374","Motorcycles","1:32","178","66.92","99.89","3","496"
"Auckland  ",,,"New Zealand","110000.00","S700_1138","Ships","1:700","1897","34.00","66.67","2","496"
"Auckland  ",,,"New Zealand","110000.00","S700_2610","Ships","1:700","7083","33.97","72.28","3","496"
"Auckland  ",,,"New Zealand","110000.00","S700_3505","Ships","1:700","1956","51.09","100.17","4","496"
"Auckland  ",,,"New Zealand","110000.00","S72_3212","Ships","1:72","414","33.30","54.60","2","496"
"Auckland  ",,,"New Zealand","110000.00","S18_2248","Vintage Cars","1:18","540","33.30","60.54","2","496"
"Auckland  ",,,"New Zealand","110000.00","S18_4933","Classic Cars","1:18","3209","34.21","71.27","2","496"
"Auckland  ",,,"New Zealand","110000.00","S24_1937","Vintage Cars","1:24","7332","22.57","33.19","4","496"
"Auckland  ",,,"New Zealand","110000.00","S24_2000","Motorcycles","1:24","15","37.32","76.17","3","496"
"Auckland  ",,,"New Zealand","110000.00","S24_3432","Classic Cars","1:24","9446","62.11","107.08","4","496"
"Auckland  ",,,"New Zealand","110000.00","S24_3969","Vintage Cars","1:24","2081","21.75","41.03","4","496"
"Auckland  ",,,"New Zealand","110000.00","S700_1691","Planes","1:700","5841","51.15","91.34","5","496"
"Auckland  ",,,"New Zealand","110000.00","S700_3962","Ships","1:700","5088","53.63","99.31","3","496"
"New Bedford","MA","50553","USA","94500.00","S700_1938","Ships","1:700","737","43.30","86.61","4","320"
"New Bedford","MA","50553","USA","94500.00","S700_4002","Planes","1:700","8820","36.27","74.03","4","320"
"New Bedford","MA","50553","USA","94500.00","S10_4757","Classic Cars","1:10","3252","85.68","136.00","2","320"
"Auckland  ",,,"New Zealand","110000.00","S10_1678","Motorcycles","1:10","7933","48.81","95.70","3","496"
"Auckland  ",,,"New Zealand","110000.00","S10_2016","Motorcycles","1:10","6625","68.99","118.94","4","496"
"Auckland  ",,,"New Zealand","110000.00","S10_4698","Motorcycles","1:10","5582","91.02","193.66","1","496"
"Auckland  ",,,"New Zealand","110000.00","S18_1662","Planes","1:18","5330","77.27","157.69","2","496"
"Auckland  ",,,"New Zealand","110000.00","S18_2581","Planes","1:72","992","49.00","84.48","5","496"
"Auckland  ",,,"New Zealand","110000.00","S18_3140","Vintage Cars","1:18","3913","68.30","136.59","2","496"
"Auckland  ",,,"New Zealand","110000.00","S18_4522","Vintage Cars","1:18","8290","52.66","87.77","4","496"
"Auckland  ",,,"New Zealand","110000.00","S24_1578","Motorcycles","1:24","7003","60.86","112.70","3","496"
"Auckland  ",,,"New Zealand","110000.00","S24_2841","Planes","1:24","5942","34.25","68.51","3","496"
"Auckland  ",,,"New Zealand","110000.00","S24_3151","Vintage Cars","1:24","9173","46.91","88.51","1","496"
"Auckland  ",,,"New Zealand","110000.00","S24_4278","Planes","1:24","2756","36.23","72.45","4","496"
"Auckland  ",,,"New Zealand","110000.00","S50_1341","Vintage Cars","1:50","7062","27.06","43.64","4","496"
"Auckland  ",,,"New Zealand","110000.00","S700_2834","Planes","1:700","7106","59.33","118.65","3","496"
"Auckland  ",,,"New Zealand","110000.00","S700_3167","Planes","1:72","551","54.40","80.00","2","496"
"New Bedford","MA","50553","USA","94500.00","S12_3148","Classic Cars","1:18","6906","89.14","151.08","2","320"
"New Bedford","MA","50553","USA","94500.00","S18_1129","Classic Cars","1:18","3975","83.51","141.54","3","320"
"New Bedford","MA","50553","USA","94500.00","S18_3029","Ships","1:18","4259","51.61","86.02","2","320"
"New Bedford","MA","50553","USA","94500.00","S18_3259","Trains","1:18","6450","67.56","100.84","5","320"
"New Bedford","MA","50553","USA","94500.00","S18_3856","Vintage Cars","1:18","2378","64.58","105.87","5","320"
"New Bedford","MA","50553","USA","94500.00","S24_2011","Ships","1:24","1898","82.34","122.89","4","320"
"New Bedford","MA","50553","USA","94500.00","S24_3816","Vintage Cars","1:24","6621","48.64","83.86","3","320"
"New Bedford","MA","50553","USA","94500.00","S24_3949","Planes","1:24","6812","29.34","68.24","3","320"
"New Bedford","MA","50553","USA","94500.00","S700_1138","Ships","1:700","1897","34.00","66.67","3","320"
"New Bedford","MA","50553","USA","94500.00","S700_2047","Ships","1:700","3501","39.83","90.52","2","320"
"New Bedford","MA","50553","USA","94500.00","S700_2466","Planes","1:700","9653","68.80","99.72","3","320"
"New Bedford","MA","50553","USA","94500.00","S700_2610","Ships","1:700","7083","33.97","72.28","3","320"
"New Bedford","MA","50553","USA","94500.00","S700_3505","Ships","1:700","1956","51.09","100.17","1","320"
"New Bedford","MA","50553","USA","94500.00","S72_3212","Ships","1:72","414","33.30","54.60","3","320"
"New Bedford","MA","50553","USA","94500.00","S12_1108","Classic Cars","1:12","3619","95.59","207.80","3","320"
"New Bedford","MA","50553","USA","94500.00","S12_3891","Classic Cars","1:12","1049","83.05","173.02","3","320"
"New Bedford","MA","50553","USA","94500.00","S18_4027","Classic Cars","1:18","5545","91.92","143.62","3","320"
"New Bedford","MA","50553","USA","94500.00","S24_3420","Vintage Cars","1:24","2902","26.30","65.75","3","320"
"New Bedford","MA","50553","USA","94500.00","S50_1514","Trains","1:50","1645","37.49","58.58","5","320"
"New Bedford","MA","50553","USA","94500.00","S700_1691","Planes","1:700","5841","51.15","91.34","3","320"
"New Bedford","MA","50553","USA","94500.00","S700_3962","Ships","1:700","5088","53.63","99.31","4","320"
"New Bedford","MA","50553","USA","94500.00","S72_1253","Planes","1:72","4857","32.77","49.66","5","320"
"New Bedford","MA","50553","USA","94500.00","S18_1662","Planes","1:18","5330","77.27","157.69","4","320"
"New Bedford","MA","50553","USA","94500.00","S18_3140","Vintage Cars","1:18","3913","68.30","136.59","5","320"
"New Bedford","MA","50553","USA","94500.00","S18_4522","Vintage Cars","1:18","8290","52.66","87.77","3","320"
"New Bedford","MA","50553","USA","94500.00","S24_2841","Planes","1:24","5942","34.25","68.51","4","320"
"New Bedford","MA","50553","USA","94500.00","S24_3151","Vintage Cars","1:24","9173","46.91","88.51","4","320"
"New Bedford","MA","50553","USA","94500.00","S32_4485","Motorcycles","1:32","3341","56.13","102.05","3","320"
"New Bedford","MA","50553","USA","94500.00","S50_1341","Vintage Cars","1:50","7062","27.06","43.64","2","320"
"New Bedford","MA","50553","USA","94500.00","S50_4713","Motorcycles","1:50","600","34.17","81.36","2","320"
"New Bedford","MA","50553","USA","94500.00","S700_3167","Planes","1:72","551","54.40","80.00","5","320"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_1749","Vintage Cars","1:18","2724","86.70","170.00","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_2325","Vintage Cars","1:18","9354","58.48","127.13","2","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_3320","Vintage Cars","1:18","7913","57.54","99.21","5","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S24_2022","Vintage Cars","1:24","2847","20.61","44.80","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_2795","Vintage Cars","1:18","548","72.56","168.75","4","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_3856","Vintage Cars","1:18","2378","64.58","105.87","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_4409","Vintage Cars","1:18","6553","43.26","92.03","2","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S700_2047","Ships","1:700","3501","39.83","90.52","1","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_1342","Vintage Cars","1:18","8693","60.62","102.74","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_2248","Vintage Cars","1:18","540","33.30","60.54","1","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_2949","Vintage Cars","1:18","4189","60.78","101.31","5","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_3136","Vintage Cars","1:18","5992","60.74","104.72","4","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_3278","Classic Cars","1:18","1917","49.05","80.41","1","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_4933","Classic Cars","1:18","3209","34.21","71.27","1","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S24_1937","Vintage Cars","1:24","7332","22.57","33.19","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S24_3420","Vintage Cars","1:24","2902","26.30","65.75","1","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S24_3969","Vintage Cars","1:24","2081","21.75","41.03","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S72_1253","Planes","1:72","4857","32.77","49.66","1","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_1367","Vintage Cars","1:18","8635","24.26","53.91","4","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_2957","Vintage Cars","1:18","5649","34.35","62.46","4","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S18_3482","Classic Cars","1:18","9127","73.49","146.99","3","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S24_2841","Planes","1:24","5942","34.25","68.51","2","471"
"Glen Waverly","Victoria","3150","Australia","60300.00","S24_4258","Vintage Cars","1:24","4710","57.46","97.39","2","471"
"Barcelona",,"08022","Spain","60300.00","S32_4289","Vintage Cars","1:32","136","33.02","68.79","3","216"
"Barcelona",,"08022","Spain","60300.00","S10_4757","Classic Cars","1:10","3252","85.68","136.00","5","216"
"Barcelona",,"08022","Spain","60300.00","S18_3029","Ships","1:18","4259","51.61","86.02","2","216"
"Barcelona",,"08022","Spain","60300.00","S18_3856","Vintage Cars","1:18","2378","64.58","105.87","2","216"
"Barcelona",,"08022","Spain","60300.00","S24_2011","Ships","1:24","1898","82.34","122.89","4","216"
"Barcelona",,"08022","Spain","60300.00","S24_3816","Vintage Cars","1:24","6621","48.64","83.86","3","216"
"Barcelona",,"08022","Spain","60300.00","S32_1374","Motorcycles","1:32","178","66.92","99.89","2","216"
"Barcelona",,"08022","Spain","60300.00","S700_1138","Ships","1:700","1897","34.00","66.67","4","216"
"Barcelona",,"08022","Spain","60300.00","S700_2047","Ships","1:700","3501","39.83","90.52","3","216"
"Barcelona",,"08022","Spain","60300.00","S700_2466","Planes","1:700","9653","68.80","99.72","3","216"
"Barcelona",,"08022","Spain","60300.00","S700_2610","Ships","1:700","7083","33.97","72.28","2","216"
"Barcelona",,"08022","Spain","60300.00","S700_3505","Ships","1:700","1956","51.09","100.17","2","216"
"Barcelona",,"08022","Spain","60300.00","S72_3212","Ships","1:72","414","33.30","54.60","3","216"
"Barcelona",,"08022","Spain","60300.00","S24_2000","Motorcycles","1:24","15","37.32","76.17","4","216"
"Barcelona",,"08022","Spain","60300.00","S700_1691","Planes","1:700","5841","51.15","91.34","2","216"
"Barcelona",,"08022","Spain","60300.00","S700_3962","Ships","1:700","5088","53.63","99.31","4","216"
"Barcelona",,"08022","Spain","60300.00","S72_1253","Planes","1:72","4857","32.77","49.66","2","216"
"Barcelona",,"08022","Spain","60300.00","S18_4522","Vintage Cars","1:18","8290","52.66","87.77","5","216"
"Barcelona",,"08022","Spain","60300.00","S24_3151","Vintage Cars","1:24","9173","46.91","88.51","3","216"
"Barcelona",,"08022","Spain","60300.00","S24_4278","Planes","1:24","2756","36.23","72.45","3","216"
"Barcelona",,"08022","Spain","60300.00","S50_1341","Vintage Cars","1:50","7062","27.06","43.64","1","216"
"Barcelona",,"08022","Spain","60300.00","S700_2834","Planes","1:700","7106","59.33","118.65","3","216"
"Toulouse",,"31000","France","61100.00","S24_3949","Planes","1:24","6812","29.34","68.24","3","242"
"Toulouse",,"31000","France","61100.00","S700_2047","Ships","1:700","3501","39.83","90.52","3","242"
"Toulouse",,"31000","France","61100.00","S700_2466","Planes","1:700","9653","68.80","99.72","3","242"
"Toulouse",,"31000","France","61100.00","S700_2610","Ships","1:700","7083","33.97","72.28","3","242"
"Toulouse",,"31000","France","61100.00","S700_3505","Ships","1:700","1956","51.09","100.17","4","242"
"Toulouse",,"31000","France","61100.00","S72_3212","Ships","1:72","414","33.30","54.60","4","242"
"Toulouse",,"31000","France","61100.00","S18_3232","Classic Cars","1:18","8347","77.90","169.34","2","242"
"Toulouse",,"31000","France","61100.00","S24_3420","Vintage Cars","1:24","2902","26.30","65.75","3","242"
"Toulouse",,"31000","France","61100.00","S700_3962","Ships","1:700","5088","53.63","99.31","3","242"
"Toulouse",,"31000","France","61100.00","S72_1253","Planes","1:72","4857","32.77","49.66","2","242"
"Toulouse",,"31000","France","61100.00","S18_1662","Planes","1:18","5330","77.27","157.69","3","242"
"Toulouse",,"31000","France","61100.00","S18_1984","Classic Cars","1:18","9772","93.89","142.25","3","242"
"Toulouse",,"31000","France","61100.00","S24_2841","Planes","1:24","5942","34.25","68.51","3","242"
"Manchester",,"EC2 5NT","UK","136800.00","S18_1589","Classic Cars","1:18","9042","65.96","124.44","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_1749","Vintage Cars","1:18","2724","86.70","170.00","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_2325","Vintage Cars","1:18","9354","58.48","127.13","5","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_2022","Vintage Cars","1:24","2847","20.61","44.80","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_2766","Classic Cars","1:24","2350","47.25","90.87","5","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_2887","Classic Cars","1:24","1452","72.82","117.44","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S700_1938","Ships","1:700","737","43.30","86.61","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S12_3148","Classic Cars","1:18","6906","89.14","151.08","2","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_2795","Vintage Cars","1:18","548","72.56","168.75","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_3259","Trains","1:18","6450","67.56","100.84","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_4409","Vintage Cars","1:18","6553","43.26","92.03","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_1046","Classic Cars","1:24","1005","49.24","73.49","2","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_2011","Ships","1:24","1898","82.34","122.89","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_3191","Classic Cars","1:24","4695","50.51","85.61","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S700_1138","Ships","1:700","1897","34.00","66.67","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S700_2610","Ships","1:700","7083","33.97","72.28","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S700_3505","Ships","1:700","1956","51.09","100.17","1","187"
"Manchester",,"EC2 5NT","UK","136800.00","S72_3212","Ships","1:72","414","33.30","54.60","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S12_1108","Classic Cars","1:12","3619","95.59","207.80","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S12_3891","Classic Cars","1:12","1049","83.05","173.02","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_1342","Vintage Cars","1:18","8693","60.62","102.74","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_2248","Vintage Cars","1:18","540","33.30","60.54","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_3136","Vintage Cars","1:18","5992","60.74","104.72","1","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_4027","Classic Cars","1:18","5545","91.92","143.62","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_4933","Classic Cars","1:18","3209","34.21","71.27","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_1628","Classic Cars","1:24","8197","29.18","50.31","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_1937","Vintage Cars","1:24","7332","22.57","33.19","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_3432","Classic Cars","1:24","9446","62.11","107.08","1","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_3969","Vintage Cars","1:24","2081","21.75","41.03","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S50_1514","Trains","1:50","1645","37.49","58.58","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S700_3962","Ships","1:700","5088","53.63","99.31","2","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_1367","Vintage Cars","1:18","8635","24.26","53.91","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_2957","Vintage Cars","1:18","5649","34.35","62.46","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_3140","Vintage Cars","1:18","3913","68.30","136.59","3","187"
"Manchester",,"EC2 5NT","UK","136800.00","S18_4522","Vintage Cars","1:18","8290","52.66","87.77","4","187"
"Manchester",,"EC2 5NT","UK","136800.00","S24_3151","Vintage Cars","1:24","9173","46.91","88.51","4","187"
